time [s],device_position_epoch [na] (/api/datatype/269/)
0.00000000,nan
1.00000000,2
36.00000000,6
75.00000000,2
159.00000000,6
260.00000000,2
267.00000000,6
310.00000000,2
1785.00000000,6
1793.00000000,2
2124.00000000,6
2137.00000000,2
2144.00000000,6
2758.00000000,2
6929.00000000,6
6947.00000000,2
6958.00000000,6
6968.00000000,2
13370.00000000,6
13476.00000000,2
13512.00000000,6
13576.00000000,2
13607.00000000,6
13674.00000000,2
13808.00000000,6
13867.00000000,2
14045.00000000,3
14054.00000000,6
14104.00000000,2
15090.00000000,6
15113.00000000,2
17326.00000000,4
17341.00000000,2
20904.00000000,6
20919.00000000,2
20983.00000000,6
21029.00000000,2
21040.00000000,6
21068.00000000,2
21082.00000000,6
21208.00000000,2
21659.00000000,4
21670.00000000,2
21772.00000000,6
22131.00000000,2
22145.00000000,6
22242.00000000,2
23113.00000000,6
23168.00000000,2
23175.00000000,6
25726.00000000,2
28187.00000000,3
28188.00000000,2
28194.00000000,6
29677.00000000,1
29702.00000000,6
29781.00000000,1
29787.00000000,6
29814.00000000,1
29822.00000000,6
29828.00000000,1
29838.00000000,6
31279.00000000,1
31286.00000000,6
31312.00000000,1
31394.00000000,6
31407.00000000,1
31449.00000000,6
31556.00000000,1
31644.00000000,6
31689.00000000,1
31701.00000000,6
31718.00000000,1
31724.00000000,6
31731.00000000,1
31899.00000000,6
31907.00000000,1
31936.00000000,6
31972.00000000,1
31987.00000000,6
31990.00000000,1
31999.00000000,6
32009.00000000,1
32372.00000000,6
32385.00000000,1
32414.00000000,6
32422.00000000,1
32502.00000000,6
32521.00000000,1
32617.00000000,6
32638.00000000,1
32874.00000000,6
32880.00000000,1
33105.00000000,6
33112.00000000,1
33126.00000000,6
33132.00000000,1
33192.00000000,6
33206.00000000,1
33225.00000000,6
33276.00000000,1
33785.00000000,6
33793.00000000,1
33839.00000000,6
33883.00000000,1
33911.00000000,6
33966.00000000,1
33968.00000000,6
33992.00000000,1
33999.00000000,6
34546.00000000,nan
