time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,2.0
30.0,5.0
41.0,2.0
281.0,5.0
305.0,2.0
2752.0,5.0
2761.0,2.0
2764.0,5.0
2767.0,3.0
2771.0,5.0
3646.0,2.0
4469.0,5.0
4482.0,2.0
4964.0,5.0
4972.0,2.0
4987.0,5.0
5006.0,2.0
6359.0,5.0
6387.0,2.0
6445.0,5.0
6466.0,2.0
6639.0,5.0
6655.0,2.0
7386.0,5.0
7408.0,2.0
8988.0,5.0
8996.0,2.0
9280.0,5.0
9286.0,2.0
9329.0,5.0
9358.0,2.0
9364.0,5.0
9387.0,2.0
10846.0,5.0
10854.0,2.0
10924.0,5.0
10936.0,2.0
24093.0,nan
